GPS Time,Device Time,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel flow rate/minute(gal/min),GPS Altitude(m),GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°)
Thu Apr 02 15:28:40 GMT+03:00 2026,02-apr.-2026 15:28:41.226,0.25787582993507385,7.199999809265137,107.1,143.89999389648438,-0.3,5.56,8.05,0.02,18.04,0,-,9,0,35.24,33,-,5.1,1087,0.01,107.1,0,-,21,5.66,4.75,-,-,53.25,0,46.75,21,-,0,15.29,-1.5
Thu Apr 02 15:28:42 GMT+03:00 2026,02-apr.-2026 15:28:42.946,0.14566639065742493,6.599999904632568,86.9,143.89999389648438,-0.48,5.56,8.07,0.02,18.04,0,-,9,0,35.24,33,-,5.1,1087.75,0.01,86.9,0,-,21,5.66,4.76,-,-,53.25,0,46.75,22,0.52,0,14.9,3.5
Thu Apr 02 15:28:44 GMT+03:00 2026,02-apr.-2026 15:28:44.669,0.27022916078567505,5.300000190734863,91.3,143.89999389648438,-0.34,5.34,8.24,0.02,17.65,0,-,9,0,35.24,33,-,5.1,1099,0.01,91.3,0.95,-,21,5.66,4.67,-,-,53.25,0,46.75,24,0.97,0,14.9,-1.5
Thu Apr 02 15:28:45 GMT+03:00 2026,02-apr.-2026 15:28:46.451,0.27640584111213684,5.099999904632568,92.6,143.89999389648438,1.23,-0.45,6.96,-0.26,17.25,0.45,-,9,0,35.24,34,-,5.1,1073.75,0.01,92.6,1,-,21,5.51,4.72,-,-,53.25,0,46.75,26,1,0,14.51,-1.5
Thu Apr 02 15:28:47 GMT+03:00 2026,02-apr.-2026 15:28:48.110,0.09522361308336258,4.900000095367432,92.3,143.89999389648438,0.32,1.73,9.6,0.01,17.65,0,-,9,0,35.24,34,-,5.1,1060.5,0.01,92.3,0.42,-,21,5.66,4.64,-,-,53.25,0,46.75,27,0.34,0,14.12,1
Thu Apr 02 15:28:49 GMT+03:00 2026,02-apr.-2026 15:28:49.830,0.058163609355688095,4.699999809265137,82.4,143.89999389648438,0.31,1.78,9.41,-0,17.25,-0.01,-,9,0,35.24,34,-,5.1,1072.25,0.01,82.4,0.22,-,21,5.66,4.69,-,-,53.25,0,46.75,29,0.21,0,14.12,1
Thu Apr 02 15:28:51 GMT+03:00 2026,02-apr.-2026 15:28:51.648,0.03139805421233177,4.5,82.4,143.89999389648438,0.34,1.72,9.64,0.02,17.25,-0.02,-,9,0,35.24,34,-,5.1,1064.5,0.01,82.4,0.38,-,21,5.66,4.71,-,-,53.25,0,46.75,31,0.11,0,14.51,3.5
Thu Apr 02 15:28:54 GMT+03:00 2026,02-apr.-2026 15:28:54.291,0.09522361308336258,4.400000095367432,76.0,89.1500015258789,0.34,1.78,9.42,-0,16.86,-0.02,-,9,0,35.24,34,-,5.1,1069,0.01,76,0.11,-,20,5.66,4.64,-,-,53.25,0,46.75,34,0.34,0,14.12,-1.5
Thu Apr 02 15:28:57 GMT+03:00 2026,02-apr.-2026 15:28:57.418,0.1158125028014183,4.199999809265137,76.0,105.58000183105469,0.46,1.78,9.5,0.01,16.86,0,-,9,0,35.24,35,-,4.71,1058.75,0.01,76,0.41,-,20,5.66,4.65,-,-,53.25,0,46.75,37,0.42,0,13.73,1
Thu Apr 02 15:29:00 GMT+03:00 2026,02-apr.-2026 15:29:00.495,0.0,4.099999904632568,76.0,105.58000183105469,0.4,1.79,9.57,0.01,16.47,0,-,9,0,35.24,35,-,4.71,1038,0.01,76,0,-,20,5.66,4.57,-,-,53.25,0,46.75,40,0,0,13.33,3.5
Thu Apr 02 15:29:03 GMT+03:00 2026,02-apr.-2026 15:29:03.579,0.0,3.9000000953674316,76.0,105.58000183105469,0.26,1.73,9.55,0.01,15.69,0,-,9,0,35.24,35,-,4.31,1069.5,0.01,76,0,-,20,5.66,4.46,-,-,53.25,0,46.75,43,0,0,12.16,5.5
Thu Apr 02 15:29:05 GMT+03:00 2026,02-apr.-2026 15:29:05.791,0.0,3.799999952316284,69.8,105.58000183105469,0.42,1.79,9.45,-0,15.29,0,-,9,0,35.24,35,-,4.31,1041,0.01,69.8,0,-,20,5.08,4,-,-,53.25,0,46.75,45,0,0,11.76,6
Thu Apr 02 15:29:07 GMT+03:00 2026,02-apr.-2026 15:29:07.488,0.0,3.799999952316284,69.7,208.33999633789062,0.45,1.76,9.56,0.01,15.29,0.01,-,9,0,35.24,36,-,4.31,1025.75,0.01,69.7,0.44,-,20,5.08,4.07,-,-,53.25,0,46.75,47,0,0,11.37,5.5
Thu Apr 02 15:29:09 GMT+03:00 2026,02-apr.-2026 15:29:09.280,0.22081583738327026,3.799999952316284,69.7,278.82000732421875,0.46,1.75,9.65,0.02,15.29,0,-,9,0,35.24,36,-,4.31,1021.25,0.01,69.7,0.7,-,20,5.22,4.06,-,-,53.25,0,46.75,49,0.79,0,11.37,13.5
Thu Apr 02 15:29:10 GMT+03:00 2026,02-apr.-2026 15:29:11.076,0.0,3.799999952316284,69.7,278.82000732421875,0.38,1.69,9.78,0.03,15.29,0,-,9,0,35.24,37,-,4.31,1008.75,0.01,69.7,0.79,-,20,5.22,4,-,-,53.25,0,46.75,50,0,0,10.98,8
Thu Apr 02 15:29:12 GMT+03:00 2026,02-apr.-2026 15:29:12.894,0.0,1.7999999523162842,69.4,278.82000732421875,0.32,1.64,9.55,0.01,16.47,0,-,9,0,35.24,37,-,6.27,996.25,0.01,69.4,0,-,20,5.51,4.19,-,-,53.25,0,46.75,52,0,0,25.1,19
Thu Apr 02 15:29:14 GMT+03:00 2026,02-apr.-2026 15:29:14.605,0.0,2.0,70.0,278.82000732421875,0.47,1.4,9.67,0.02,20.78,-0.01,-,9,0.04,35.24,37,0.06,5.1,976.75,0.01,70,1,0.08,20,5.08,4.07,-,-,0,0,100,54,0,1,17.65,10
Thu Apr 02 15:29:16 GMT+03:00 2026,02-apr.-2026 15:29:16.346,0.5466349720954895,2.200000047683716,71.6,282.3800048828125,0.37,1.5,9.59,0.01,21.18,-0.01,-,9,0.1,35.24,38,0.12,5.49,1090.25,0.01,71.6,2,0.17,20,6.38,5.84,-,-,0,0,100,56,1.97,2,20,21
Thu Apr 02 15:29:17 GMT+03:00 2026,02-apr.-2026 15:29:18.061,0.5739153027534485,2.4000000953674316,72.4,275.2300109863281,0.28,1.84,9.48,0,22.35,-0.01,-,9,0.17,35.24,38,0.12,5.49,1221.75,0.01,72.4,0.03,0.17,20,6.09,5.96,-,-,0,0,100,57,2.07,2,13.33,3
Thu Apr 02 15:29:19 GMT+03:00 2026,02-apr.-2026 15:29:19.786,0.6279610991477966,2.4000000953674316,73.7,294.54998779296875,-0.38,2.08,9.73,0.03,16.86,0.02,-,9,0.23,35.24,38,-,8.63,1333,0.01,73.7,0.16,-,20,7.54,7.39,-,-,0,0,100,59,2.26,2,22.75,20
Thu Apr 02 15:29:21 GMT+03:00 2026,02-apr.-2026 15:29:21.522,0.6660505533218384,2.299999952316284,75.1,5.0,0.14,1.59,9.85,0.04,17.25,0.01,-,9,0.31,35.24,38,0.19,4.71,1085.25,0.01,75.1,0.69,0.25,19,5.22,4.37,-,-,0,0,100,61,2.4,3,19.22,8
Thu Apr 02 15:29:23 GMT+03:00 2026,02-apr.-2026 15:29:23.256,0.6969338655471802,2.200000047683716,76.6,5.0,0.18,1.96,9.7,0.03,21.57,0,-,9,0.45,35.24,38,0.61,4.71,1166.5,0.01,76.6,2.59,0.82,19,6.53,5.27,-,-,0,0,100,63,2.51,5,12.94,6.5
Thu Apr 02 15:29:24 GMT+03:00 2026,02-apr.-2026 15:29:25.015,0.7046546936035156,2.0999999046325684,77.2,5.0,0.03,1.95,9.44,0,16.08,-0.01,-,9,0.56,35.24,38,0.61,4.71,1128.25,0.01,77.2,1.49,0.82,19,5.66,4.78,-,-,0,0,100,64,2.54,4,12.55,4
Thu Apr 02 15:29:26 GMT+03:00 2026,02-apr.-2026 15:29:26.817,0.7185522317886353,2.0999999046325684,78.8,5.0,0.62,1.68,9.6,0.01,15.69,0,-,9,0.63,35.24,39,-,4.71,992.75,0.01,78.8,0.43,-,19,5.51,4.24,-,-,0,0,100,66,2.59,3,12.16,13
Thu Apr 02 15:29:28 GMT+03:00 2026,02-apr.-2026 15:29:28.520,0.7190669178962708,2.0,78.4,5.0,0.2,1.92,9.63,0.02,15.29,0,-,9,0.67,35.24,39,-,4.31,1023,0.01,78.4,0.59,-,19,5.51,4.3,-,-,0,0,100,68,2.59,2,11.76,4.5
Thu Apr 02 15:29:30 GMT+03:00 2026,02-apr.-2026 15:29:30.238,0.7041400074958801,2.0,78.4,5.0,0.14,1.61,9.74,0.02,16.47,-0.02,-,9,0.68,35.24,39,-,6.27,1106.75,0.01,78.4,1.57,-,19,5.51,5.67,-,-,0,0,100,70,2.53,1,12.94,0.5
Thu Apr 02 15:29:31 GMT+03:00 2026,02-apr.-2026 15:29:32.041,0.7020810842514038,2.0,78.9,5.0,0.36,1.96,9.64,0.02,21.18,0,-,9,0.71,35.24,40,0.13,4.71,1090.25,0.01,78.9,0.53,0.17,19,5.8,4.77,-,-,0,0,100,71,2.53,2,12.16,2
Thu Apr 02 15:29:33 GMT+03:00 2026,02-apr.-2026 15:29:33.791,0.6681094169616699,2.0,78.9,6.0,0.59,1.82,9.51,0.01,16.08,0,-,9,0.74,35.24,40,0.13,7.45,1394.5,0.01,78.9,0.47,0.17,19,6.53,6.98,-,-,0,0,100,73,2.41,2,12.94,-8.5
Thu Apr 02 15:29:35 GMT+03:00 2026,02-apr.-2026 15:29:35.527,0.5991366505622864,2.0,79.8,6.0,0.68,2.06,9.47,0.01,15.69,-0.01,-,9,0.8,35.24,40,0.18,6.27,1365,0.01,79.8,0.75,0.25,19,8.27,8.55,-,-,0,0,100,75,2.16,3,12.55,1
Thu Apr 02 15:29:37 GMT+03:00 2026,02-apr.-2026 15:29:37.326,0.5641355514526367,2.0,79.5,6.0,0.5,1.84,9.7,0.03,23.53,0,-,9,0.83,35.24,41,0.18,4.31,1018,0.01,79.5,0.13,0.25,19,5.37,4.28,-,-,0,0,100,77,2.03,2,11.37,3.5
Thu Apr 02 15:29:38 GMT+03:00 2026,02-apr.-2026 15:29:39.053,0.5255314111709595,2.0,79.3,6.0,0.92,2.21,9.64,0.03,15.69,0.01,-,9,0.86,35.24,41,-,7.45,1580.25,0.01,79.3,0.03,-,19,6.53,7.79,-,-,0,0,100,78,1.89,2,12.94,1.5
Thu Apr 02 15:29:40 GMT+03:00 2026,02-apr.-2026 15:29:40.816,0.48692721128463745,2.0,79.3,274.5899963378906,0.49,2.5,9.41,0.01,23.92,-0.01,-,9,0.86,35.24,41,-,4.31,1010.75,0.01,79.3,0.8,-,19,5.37,4.32,-,-,0,0,100,80,1.75,1,11.76,9
Thu Apr 02 15:29:42 GMT+03:00 2026,02-apr.-2026 15:29:42.540,0.43442556262016296,1.899999976158142,78.2,357.9800109863281,-0.43,2.77,9.17,-0,25.88,0,-,9,0.84,35.24,41,-,7.84,1439.25,0.01,78.2,1.65,-,19,6.96,8.05,-,-,0,0,100,82,1.56,0,24.71,18
Thu Apr 02 15:29:44 GMT+03:00 2026,02-apr.-2026 15:29:44.355,0.41949862241744995,2.0,77.0,343.95001220703125,-0.76,0.81,9.63,0.01,15.69,0,-,9,0.98,35.24,41,2.97,6.67,1060.25,0.01,77,5.52,3.99,19,8.7,8.45,-,-,3.83,0,96.17,84,1.51,7,11.76,1
Thu Apr 02 15:29:46 GMT+03:00 2026,02-apr.-2026 15:29:46.200,0.43854331970214844,2.0999999046325684,76.5,311.57000732421875,0.43,1.41,9.6,0.01,14.9,-0.04,-,9,1.07,35.24,42,2.97,4.31,1020,0.01,76.5,3.49,3.99,19,5.22,4.15,-,-,5.31,0,94.69,86,1.58,5,11.37,11.5
Thu Apr 02 15:29:47 GMT+03:00 2026,02-apr.-2026 15:29:47.923,0.4210427701473236,2.0999999046325684,76.0,298.5400085449219,0.39,1.59,9.79,0.03,16.47,0,-,9,1.04,35.24,42,-,12.94,673.25,0.01,76,1.58,-,18,10.88,8.72,-,-,5.04,0,94.96,87,1.52,0,14.51,-4
Thu Apr 02 15:29:49 GMT+03:00 2026,02-apr.-2026 15:29:49.699,0.4210427701473236,2.0,73.8,241.41000366210938,0.44,1.08,9.76,0.02,15.69,-0.03,-,9,1.08,35.24,42,0.55,7.06,755.25,0.01,73.8,1.51,0.73,18,7.11,5.61,-,-,4.79,0,95.21,89,1.52,3,11.76,-1.5
Thu Apr 02 15:29:51 GMT+03:00 2026,02-apr.-2026 15:29:51.462,0.42516055703163147,2.0,72.6,234.49000549316406,0.43,1.92,9.68,0.03,14.9,0,-,9,1.14,35.24,43,0.25,6.67,672,0.01,72.6,2.47,0.33,19,7.25,4.41,-,-,4.57,0,95.43,91,1.53,4,10.98,-5
Thu Apr 02 15:29:53 GMT+03:00 2026,02-apr.-2026 15:29:53.181,0.0,2.0,71.8,179.75,-0.11,1.98,9.4,-0,22.75,-0.02,-,9,1.12,35.24,43,0.25,8.63,1305.5,0.01,71.8,1.53,0.33,18,6.82,6.72,-,-,4.37,0,95.63,93,0,0,22.35,20
Thu Apr 02 15:29:54 GMT+03:00 2026,02-apr.-2026 15:29:55.010,0.0,1.899999976158142,71.5,214.82000732421875,-1.2,4.01,9.29,0.06,21.96,0.03,-,9,1.18,35.24,44,1,5.88,1026.25,0.01,71.5,4,1.34,18,8.12,5.73,-,-,4.18,0,95.82,94,0,4,18.82,17.5
Thu Apr 02 15:29:56 GMT+03:00 2026,02-apr.-2026 15:29:56.711,0.0,2.0,71.2,235.77999877929688,0.32,3.41,9.26,0.03,18.43,0,-,9,1.31,35.24,44,1.92,7.45,1185,0.01,71.2,8,2.58,18,7.98,7.1,-,-,6.66,0,93.34,96,0,8,20.39,18.5
Thu Apr 02 15:29:58 GMT+03:00 2026,02-apr.-2026 15:29:58.505,0.7190669178962708,2.0,70.6,246.7100067138672,0.05,3.79,9.01,0.02,25.49,-0.01,-,9,1.49,35.24,44,2.08,7.06,1424.5,0.01,70.6,9.07,2.8,18,5.51,5.98,-,-,10.38,0,89.62,98,2.59,11,21.96,20
Thu Apr 02 15:30:00 GMT+03:00 2026,02-apr.-2026 15:30:00.225,1.2029057741165161,2.0,70.2,248.4199981689453,-0.77,2.95,9.44,0.03,20.78,0.02,-,9,1.72,35.24,44,2.57,5.1,1795.75,0.01,70.2,10.63,3.44,18,6.38,7.94,-,-,13.69,0,86.31,100,4.33,14,9.8,22
Thu Apr 02 15:30:01 GMT+03:00 2026,02-apr.-2026 15:30:02.005,1.517401099205017,2.0999999046325684,70.0,249.0500030517578,-0.99,2.81,9.88,0.07,17.25,0.07,-,9,1.96,35.24,44,0.93,5.88,1032.5,0.01,70,10.67,1.25,18,7.4,6.83,-,-,16.86,0,83.14,101,5.46,15,14.12,19.5
Thu Apr 02 15:30:03 GMT+03:00 2026,02-apr.-2026 15:30:03.752,2.239041566848755,2.4000000953674316,70.0,254.0,-0.06,3.04,9.35,0.02,15.29,0,-,9,2.21,35.24,45,0.97,4.71,1160.75,0.01,70,9.28,1.3,18,5.51,4.83,-,-,19.75,0,80.25,103,8.06,16,10.98,14
Thu Apr 02 15:30:05 GMT+03:00 2026,02-apr.-2026 15:30:05.556,2.9967126846313477,2.4000000953674316,67.9,258.0,-0.5,3.28,9.04,0,14.9,-0.05,-,9,2.44,35.24,45,0.97,3.92,1109.75,0,67.9,5.58,1.3,18,4.35,3.71,-,-,22.54,0,77.46,105,10.79,15,10.98,14
Thu Apr 02 15:30:07 GMT+03:00 2026,02-apr.-2026 15:30:07.291,3.4733455181121826,2.299999952316284,66.4,265.05999755859375,0.31,2.99,9.05,-0.01,13.73,0.08,-,9,2.64,35.24,45,-,3.92,1048.75,0,66.4,2.24,-,18,4.35,3.55,-,-,25.04,0,74.96,107,12.5,14,9.41,9
Thu Apr 02 15:30:08 GMT+03:00 2026,02-apr.-2026 15:30:09.132,3.6313652992248535,2.4000000953674316,65.8,258.0,-0.91,3.42,8.68,-0.03,16.08,-0.06,-,9,2.81,35.24,46,-,3.53,950.25,0,65.8,0.5,-,18,4.64,3.42,-,-,27.52,0,72.48,108,13.07,13,12.55,15.5
Thu Apr 02 15:30:10 GMT+03:00 2026,02-apr.-2026 15:30:10.941,3.749236583709717,2.200000047683716,64.6,264.0,-0.76,2.93,9.52,0.04,14.51,-0.04,-,9,2.97,35.24,46,-,4.31,928.75,0.01,64.6,1.41,-,18,6.09,4.26,-,-,29.81,0,70.19,110,13.5,12,10.2,11.5
Thu Apr 02 15:30:12 GMT+03:00 2026,02-apr.-2026 15:30:12.726,3.6354830265045166,2.299999952316284,62.9,264.0,0.08,2.82,8.61,-0.06,21.18,-0.07,-,8,3.11,35.24,46,-,6.27,922.25,0.01,62.9,1.38,-,18,5.51,4.62,-,-,31.92,0,68.08,112,13.09,12,19.22,15.5
Thu Apr 02 15:30:14 GMT+03:00 2026,02-apr.-2026 15:30:14.426,3.394078254699707,2.299999952316284,60.5,228.47999572753906,-1.22,3.26,9.05,0.01,19.61,0.03,-,8,3.32,35.24,47,3.88,7.45,1143.5,0.01,60.5,3.31,5.21,18,7.4,6.67,-,-,33.82,0,66.18,114,12.22,16,18.82,18.5
Thu Apr 02 15:30:15 GMT+03:00 2026,02-apr.-2026 15:30:16.126,3.280324697494507,2.4000000953674316,60.0,221.7899932861328,-1.05,2.77,9.69,0.05,18.82,-0.03,-,8,3.54,35.24,47,1.06,5.88,1311,0.01,60,4.78,1.42,18,5.66,5.47,-,-,35.62,0,64.38,115,11.81,17,16.08,20
Thu Apr 02 15:30:17 GMT+03:00 2026,02-apr.-2026 15:30:17.895,3.1840717792510986,2.4000000953674316,58.9,213.00999450683594,-0.04,2.99,9.27,0.01,14.51,-0.08,-,8,3.77,35.24,47,1.16,6.27,1362.5,0.01,58.9,6.82,1.55,18,5.51,5.9,-,-,37.39,0,62.61,117,11.46,18,11.37,14
Thu Apr 02 15:30:19 GMT+03:00 2026,02-apr.-2026 15:30:19.732,3.2834131717681885,2.5999999046325684,58.0,196.92999267578125,-0.16,3.37,9.45,0.04,13.73,-0.01,-,8,3.95,35.24,47,1.16,3.53,1211.75,0,58,4.3,1.55,18,4.06,3.63,-,-,39.13,0,60.87,119,11.82,16,9.8,8
Thu Apr 02 15:30:21 GMT+03:00 2026,02-apr.-2026 15:30:21.475,3.3055460453033447,2.700000047683716,56.7,173.57000732421875,0.17,3.11,9.27,0.02,14.12,0,-,8,4.11,35.24,47,-,3.53,1033.75,0,56.7,2.05,-,18,4.21,3.24,-,-,40.69,0,59.31,121,11.9,14,9.41,8.5
Thu Apr 02 15:30:23 GMT+03:00 2026,02-apr.-2026 15:30:23.191,3.2540738582611084,2.5999999046325684,57.2,198.0,-0.1,2.97,9.8,0.06,13.73,0.04,-,8,4.22,35.24,47,-,3.53,916,0,57.2,0.06,-,18,4.79,3.37,-,-,42.15,0,57.85,123,11.71,12,9.41,7
Thu Apr 02 15:30:24 GMT+03:00 2026,02-apr.-2026 15:30:24.871,3.251500368118286,2.4000000953674316,56.8,198.0,0.08,3.12,8.73,-0.04,14.12,-0.02,-,8,4.32,35.24,48,-,3.53,792.25,0,56.8,0.71,-,18,5.37,3.32,-,-,43.52,0,56.48,124,11.71,11,9.41,14.5
Thu Apr 02 15:30:26 GMT+03:00 2026,02-apr.-2026 15:30:26.647,3.243779420852661,2.5,56.3,165.72999572753906,-0.41,2.97,8.99,-0.02,15.69,0.04,-,8,4.42,35.24,48,-,3.53,798.25,0,56.3,0.51,-,18,5.8,3.63,-,-,44.89,0,55.11,126,11.68,11,12.55,17.5
Thu Apr 02 15:30:28 GMT+03:00 2026,02-apr.-2026 15:30:28.397,2.92928409576416,2.4000000953674316,60.1,155.52000427246094,0.08,3.54,8.88,-0.01,21.96,0.01,-,8,4.51,35.24,48,-,6.27,828.75,0.01,60.1,0.01,-,18,7.83,5.35,-,-,46.18,0,53.82,128,10.55,11,19.61,12.5
Thu Apr 02 15:30:30 GMT+03:00 2026,02-apr.-2026 15:30:30.257,2.9339165687561035,2.5,60.3,156.6699981689453,0.11,3.49,9.09,0.01,21.57,0.01,-,8,4.65,35.24,48,2.56,7.06,1013.5,0.01,60.3,3.45,3.44,18,8.56,6.92,-,-,47.48,0,52.52,130,10.56,14,20,17.5
Thu Apr 02 15:30:31 GMT+03:00 2026,02-apr.-2026 15:30:32.085,3.0450966358184814,2.5,60.8,156.4199981689453,-0.21,3.33,9.12,0.01,14.9,0.02,-,8,4.82,35.24,49,3.02,5.49,1207,0.01,60.8,6.44,4.05,18,6.82,6.2,-,-,48.7,0,51.3,131,10.96,17,11.76,22
Thu Apr 02 15:30:33 GMT+03:00 2026,02-apr.-2026 15:30:33.883,3.4043726921081543,2.5999999046325684,62.3,159.41000366210938,0.38,1.96,9.05,-0.04,14.12,-0.05,-,8,4.97,35.24,49,3.02,3.53,1191.75,0,62.3,4.54,4.05,18,4.06,3.66,-,-,49.85,0,50.15,133,12.26,16,9.8,9
Thu Apr 02 15:30:35 GMT+03:00 2026,02-apr.-2026 15:30:35.608,3.6370272636413574,2.5999999046325684,61.8,169.60000610351562,1.86,2.21,9.74,0.05,14.12,0.05,-,8,5.07,35.24,49,-,3.53,1025.5,0,61.8,0.76,-,18,4.35,3.37,-,-,50.91,0,49.09,135,13.09,12,9.8,9
Thu Apr 02 15:30:37 GMT+03:00 2026,02-apr.-2026 15:30:37.253,3.69673490524292,2.5999999046325684,61.3,170.83999633789062,1.8,3.46,8.71,-0.01,25.49,0.03,-,8,5.16,35.24,50,-,8.63,1077.5,0.01,61.3,1.05,-,18,7.54,6.45,-,-,51.87,0,48.13,137,13.31,12,25.1,9.5
Thu Apr 02 15:30:38 GMT+03:00 2026,02-apr.-2026 15:30:38.916,3.6884994506835938,2.5,58.6,184.44000244140625,1.44,3.93,8.84,0.02,26.67,0.09,-,8,5.29,35.24,51,2.88,10.2,1003,0.01,58.6,1.69,3.86,18,10.59,9.63,-,-,52.81,0,47.19,138,13.28,15,26.27,9.5
