ruta,fereastra_orara,timestamp_local,t_rel_s,v_kmh,rpm,maf_g_s,sarcina_motor_pct,t_lichid_racire_C,t_aer_admisie_C,t_ambiant_C,altitudine_m,p_galerie_psi,HDOP,a_ms2,dist_cum_m,stationare,clasa_RDE,segment,debit_comb_model_ml_s,comb_cum_l_model,CO2_g_s_model,CO2_g_s_stoich_MAF,debit_comb_fizic_ml_s,CO2_g_s_fizic
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:05,2323,49.02479338842964,1442.227272727274,20.48834710743807,23.97826446280965,88.02479338842964,34.0,21.0,35.13719008264446,17.102809917355405,2.5687519595455024,0.0523,37846.5,0,urban,S4_urban_retur,0.2555,1.8186,0.6741,4.465,0.5261,1.3883
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:06,2324,50.063492063492106,1431.0873015873012,19.98746031746029,26.395079365079447,89.0,34.0,21.0,36.441269841269744,16.792698412698396,2.257510301613224,0.2212,37860.5,0,urban,S4_urban_retur,0.3825,1.819,1.0094,4.3559,0.9118,2.4059
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:07,2325,50.617582417582405,1429.7324175824178,19.38294505494505,26.813582417582367,88.8087912087912,34.0,21.0,34.730989010989035,16.33454945054945,1.706585801019162,-0.1768,37874.5,0,urban,S4_urban_retur,0.3813,1.8194,1.0061,4.2241,0.0694,0.1832
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:08,2326,48.79047619047613,1439.6404761904732,19.46323809523809,20.78,88.0,34.0,21.0,37.29523809523806,16.221523809523845,1.9851443285794008,-0.3622,37888.1,0,urban,S4_urban_retur,0.1262,1.8195,0.3329,4.2416,0.0694,0.1832
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:09,2327,48.01010101010077,1401.590909090907,19.40202020202016,20.867171717169665,88.00505050505039,34.0,21.0,36.88636363636395,16.680707070707054,1.942878801103969,0.1443,37901.4,0,urban,S4_urban_retur,0.13,1.8196,0.343,4.2283,0.706,1.863
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:10,2328,49.82958199356916,1423.8456591639865,19.868167202572337,36.70392282958221,89.0,34.0,21.0,34.35337620578776,16.82,2.413979386121865,0.1411,37915.2,0,urban,S4_urban_retur,0.8295,1.8204,2.1887,4.3299,0.7316,1.9304
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:11,2329,49.02572347266893,1444.3440514469423,20.189710610932423,30.40167202572441,89.0,34.0,21.0,35.076848874597964,16.82,2.293270096373845,-0.1152,37928.9,0,urban,S4_urban_retur,0.5759,1.821,1.5196,4.4,0.1657,0.4373
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:12,2330,49.0,1424.6286367414798,20.10444721529513,22.75817123857004,89.0,34.0,21.0,34.75910224438901,17.029301745635937,2.171225443384871,-0.0261,37942.5,0,urban,S4_urban_retur,0.2098,1.8212,0.5537,4.3814,0.3572,0.9425
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:13,2331,48.83798882681564,1414.9832402234636,19.218659217877097,27.031396648044662,88.83798882681563,34.0,21.0,34.843575418994405,16.412681564245812,2.3558803326019726,-0.0931,37956.0,0,urban,S4_urban_retur,0.3905,1.8216,1.0304,4.1883,0.2119,0.5591
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:14,2332,48.32948929159812,1406.537891268537,19.509258649094,25.56088962108863,88.32948929159811,34.0,21.0,34.285008237232645,16.67497528830317,2.0376308581357074,0.0225,37969.5,0,urban,S4_urban_retur,0.3548,1.822,0.9363,4.2517,0.4533,1.1962
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:15,2333,49.0,1426.4840579710133,20.08881159420283,34.16321739130378,88.82028985507237,34.0,21.0,36.63043478260856,16.917884057970987,2.5562108953775087,0.0931,37983.1,0,urban,S4_urban_retur,0.7635,1.8227,2.0145,4.378,0.6135,1.6189
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:16,2334,49.0,1416.9155730533662,19.60493438320197,27.93142607174221,88.13210848643905,34.0,21.0,35.20183727034142,16.73680664916879,1.8827588127394272,0.0,37996.7,0,urban,S4_urban_retur,0.4547,1.8232,1.1998,4.2725,0.4133,1.0906
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:17,2335,49.0,1429.4927007299273,20.34715328467183,20.917518248171987,89.0,34.0,21.0,33.9,17.099489051095134,2.097143239895225,0.0452,38010.3,0,urban,S4_urban_retur,0.1326,1.8233,0.35,4.4343,0.5105,1.3471
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:18,2336,49.3253182461103,1433.3104667609614,19.431202263083456,27.39250353606809,89.0,34.0,21.0,34.550636492220605,16.295657708628013,1.919584312680782,0.1316,38024.0,0,urban,S4_urban_retur,0.4241,1.8238,1.1191,4.2347,0.702,1.8523
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:19,2337,49.94730813287535,1439.9315578465155,19.327892325315013,21.673276059564312,88.94730813287535,34.0,21.0,35.88946162657507,16.130561282932298,1.7165833388968392,-0.0452,38037.9,0,urban,S4_urban_retur,0.1328,1.8239,0.3505,4.2121,0.3253,0.8584
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:20,2338,49.0,1402.918376449594,19.26685102586978,24.5593577163237,88.0,34.0,21.0,35.66913470115971,16.590490633363157,2.787517938480952,-0.1316,38051.5,0,urban,S4_urban_retur,0.301,1.8242,0.7943,4.1988,0.1303,0.3438
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:21,2339,49.0,1427.7580645161272,19.13612903225805,29.61806451612756,88.0,34.0,21.0,35.50645161290324,16.10903225806454,3.4125597349299674,0.0,38065.1,0,urban,S4_urban_retur,0.5393,1.8247,1.423,4.1704,0.4133,1.0906
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:22,2340,49.0,1416.4,19.045999999999985,21.572000000000145,88.20000000000007,34.0,21.0,35.53999999999998,16.21199999999999,1.6023244105110983,-0.0023,38078.7,0,urban,S4_urban_retur,0.1514,1.8249,0.3995,4.1507,0.4084,1.0775
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:23,2341,48.98372329603248,1413.8779247202435,18.906419125127144,23.120793489318324,88.98372329603248,34.0,21.0,35.30162767039675,16.1,1.749973490893332,-0.1333,38092.3,0,urban,S4_urban_retur,0.2503,1.8251,0.6605,4.1203,0.1266,0.334
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:24,2342,48.04019488428734,1406.4799025578563,18.68879415347138,22.228099878196552,88.0,34.0,21.0,35.39598051157127,16.0939707673569,1.869791109194732,-0.0336,38105.7,0,urban,S4_urban_retur,0.1414,1.8253,0.3731,4.0729,0.3315,0.8747
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:25,2343,48.74209245742097,1402.1313868613147,18.79927007299268,26.70858880778626,88.25790754257902,34.0,21.0,35.14525547445258,16.13827250608269,1.875771389907018,0.033,38119.2,0,urban,S4_urban_retur,0.4071,1.8257,1.0742,4.0969,0.4809,1.269
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:26,2344,48.277580071174334,1402.172597864767,19.5969395017793,25.31594306049762,89.0,34.0,21.0,34.838790035587174,16.879857651245523,2.1098842266113365,0.0343,38132.6,0,urban,S4_urban_retur,0.3188,1.826,0.8412,4.2708,0.4777,1.2605
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:27,2345,48.98932384341646,1430.8202846975123,20.614733096085537,35.92092526690523,89.0,34.0,21.0,35.19466192170823,17.39231316725985,1.6218364041292936,0.2353,38146.2,0,urban,S4_urban_retur,0.8128,1.8268,2.1446,4.4926,0.9191,2.4252
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:28,2346,49.97140039447733,1432.9499506903353,20.14429980276134,34.17605522682444,89.0,34.0,21.0,33.45147928994081,16.982297830374748,1.879940232048691,-0.1318,38160.1,0,urban,S4_urban_retur,0.7589,1.8276,2.0024,4.3901,0.1356,0.3579
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:29,2347,48.04036326942479,1413.158678102926,20.00262361251261,21.049223007063333,89.0,34.0,21.0,34.96770938446017,17.107174571140263,2.3364743838907,-0.217,38173.4,0,urban,S4_urban_retur,0.1389,1.8277,0.3665,4.3592,0.0694,0.1832
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:30,2348,48.40884573894287,1420.4212513484356,19.41198489751885,25.29212513484375,88.0,34.0,21.0,35.045307443365715,16.44286947141314,1.6971027272035455,0.1333,38186.9,0,urban,S4_urban_retur,0.3297,1.828,0.8701,4.2305,0.6897,1.8199
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:31,2349,49.0,1411.8529411764691,18.90824255628176,26.553260711691824,88.0,34.0,21.0,35.4,16.1,2.3044188265016983,0.0725,38200.5,0,urban,S4_urban_retur,0.3795,1.8284,1.0014,4.1207,0.5692,1.502
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:32,2350,48.93087557603704,1399.0276497695834,18.74838709677408,23.70294930875629,88.0,34.0,21.0,35.4,16.129723502304074,2.666651230403708,-0.1376,38214.1,0,urban,S4_urban_retur,0.2436,1.8287,0.6429,4.0859,0.117,0.3088
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:33,2351,48.00921658986195,1409.396313364053,19.39354838709664,20.80894009216653,88.0,34.0,21.0,35.4,16.526036866359362,1.6985527172773465,-0.1186,38227.4,0,urban,S4_urban_retur,0.1273,1.8288,0.336,4.2265,0.1521,0.4013
