ruta,fereastra_orara,timestamp_local,segment,t_rel_s,v_kmh,a_ms2,dist_cum_m,rpm,maf_g_s,sarcina_motor_pct,CO2_g_s_benzina,CO2_g_s_diesel,stationare,clasa_RDE,strada,tip_drum_OSM,dist_map_match_m
RUTA_A,11-13,2026-04-02 11:48:28,11:47,31,0.0,0.0,25.4,1204.0,4.781,3.3,1.031,1.0419,1,urban,Strada Țepeș Vodă,residential,4.2
RUTA_A,11-13,2026-04-02 11:48:29,11:47,32,0.0,0.0,25.4,1008.0,3.075,2.8,0.663,0.6701,1,urban,Strada Țepeș Vodă,residential,4.3
RUTA_A,11-13,2026-04-02 11:48:30,11:47,33,0.0,0.0,25.4,917.0,2.582,2.6,0.5569,0.5628,1,urban,Strada Țepeș Vodă,residential,4.6
RUTA_A,11-13,2026-04-02 11:48:31,11:47,34,0.0,0.0,25.4,857.0,2.418,2.4,0.5214,0.5269,1,urban,Strada Țepeș Vodă,residential,4.9
RUTA_A,11-13,2026-04-02 11:48:32,11:47,35,0.0,0.0,25.4,825.0,2.4,2.4,0.5176,0.5231,1,urban,Strada Țepeș Vodă,residential,5.1
RUTA_A,11-13,2026-04-02 11:48:33,11:47,36,0.0,0.0,25.4,894.0,2.691,2.5,0.5803,0.5865,1,urban,Strada Țepeș Vodă,residential,5.3
RUTA_A,11-13,2026-04-02 11:48:34,11:47,37,0.0,0.0,25.4,1106.0,3.423,3.0,0.7383,0.7461,1,urban,Strada Țepeș Vodă,residential,5.6
RUTA_A,11-13,2026-04-02 11:48:35,11:47,38,0.0,0.0,25.4,1189.0,3.917,4.3,0.8446,0.8535,1,urban,Strada Țepeș Vodă,residential,6.0
RUTA_A,11-13,2026-04-02 11:48:36,11:47,39,0.0,0.322,25.4,1211.0,4.295,6.0,0.9263,0.9361,1,urban,Strada Țepeș Vodă,residential,6.4
RUTA_A,11-13,2026-04-02 11:48:37,11:47,40,2.32,0.698,26.1,1508.0,6.553,8.5,1.413,1.428,0,urban,Strada Țepeș Vodă,residential,6.7
RUTA_A,11-13,2026-04-02 11:48:38,11:47,41,5.03,0.767,27.5,1845.0,9.07,10.9,1.9559,1.9766,0,urban,Strada Țepeș Vodă,residential,7.0
RUTA_A,11-13,2026-04-02 11:48:39,11:47,42,7.84,0.633,29.6,1644.0,6.063,6.5,1.3075,1.3214,0,urban,Strada Țepeș Vodă,residential,9.8
RUTA_A,11-13,2026-04-02 11:48:40,11:47,43,9.58,-0.006,32.3,1434.0,3.624,3.4,0.7815,0.7898,0,urban,Strada Țepeș Vodă,residential,8.7
RUTA_A,11-13,2026-04-02 11:48:41,11:47,44,7.8,-0.227,34.5,1193.0,3.042,4.3,0.6561,0.663,0,urban,Strada Țepeș Vodă,residential,5.7
RUTA_A,11-13,2026-04-02 11:48:42,11:47,45,7.95,0.259,36.7,1134.0,2.903,4.2,0.626,0.6326,0,urban,Strada Țepeș Vodă,residential,3.2
RUTA_A,11-13,2026-04-02 11:48:43,11:47,46,9.67,0.221,39.4,1225.0,3.127,3.3,0.6743,0.6815,0,urban,Strada Țepeș Vodă,residential,1.4
RUTA_A,11-13,2026-04-02 11:48:44,11:47,47,9.53,-0.087,42.0,1131.0,2.928,3.0,0.6313,0.638,0,urban,Strada Țepeș Vodă,residential,2.1
RUTA_A,11-13,2026-04-02 11:48:45,11:47,48,9.04,0.009,44.5,1003.0,2.696,2.9,0.5814,0.5875,0,urban,Strada Țepeș Vodă,residential,5.4
RUTA_A,11-13,2026-04-02 11:48:46,11:47,49,9.6,0.067,47.2,1009.0,3.307,4.9,0.7132,0.7208,0,urban,Strada Țepeș Vodă,residential,6.9
RUTA_A,11-13,2026-04-02 11:48:47,11:47,50,9.52,-0.25,49.8,1045.0,3.624,5.7,0.7816,0.7899,0,urban,Strada Țepeș Vodă,residential,9.3
RUTA_A,11-13,2026-04-02 11:48:48,11:47,51,7.79,-0.597,52.0,1161.0,3.169,3.7,0.6835,0.6907,0,urban,Strada Țepeș Vodă,residential,7.0
RUTA_A,11-13,2026-04-02 11:48:49,11:47,52,5.23,-0.813,53.4,1128.0,2.854,2.8,0.6154,0.6219,0,urban,Strada Țepeș Vodă,residential,4.7
RUTA_A,11-13,2026-04-02 11:48:50,11:47,53,1.94,-0.642,54.0,967.0,2.656,2.8,0.5728,0.5789,0,urban,Strada Țepeș Vodă,residential,4.7
RUTA_A,11-13,2026-04-02 11:48:51,11:47,54,0.6,-0.263,54.2,890.0,2.568,2.8,0.5538,0.5597,1,urban,Strada Țepeș Vodă,residential,4.7
RUTA_A,11-13,2026-04-02 11:48:52,11:47,55,0.04,-0.084,54.2,845.0,2.524,2.8,0.5442,0.55,1,urban,Strada Țepeș Vodă,residential,4.7
RUTA_A,11-13,2026-04-02 11:48:53,11:47,56,0.0,-0.006,54.2,821.0,2.504,2.5,0.5399,0.5457,1,urban,Strada Țepeș Vodă,residential,4.7
RUTA_A,11-13,2026-04-02 11:48:54,11:47,57,0.0,0.0,54.2,804.0,2.495,2.4,0.538,0.5437,1,urban,Strada Țepeș Vodă,residential,4.7
RUTA_A,11-13,2026-04-02 11:48:55,11:47,58,0.0,0.0,54.2,802.0,2.517,2.6,0.5428,0.5485,1,urban,Strada Țepeș Vodă,residential,4.7
RUTA_A,11-13,2026-04-02 11:48:56,11:47,59,0.0,0.0,54.2,826.0,2.661,3.8,0.5739,0.5799,1,urban,Strada Țepeș Vodă,residential,4.8
RUTA_A,11-13,2026-04-02 11:48:57,11:47,60,0.0,0.133,54.2,889.0,2.981,6.4,0.6428,0.6496,1,urban,Strada Țepeș Vodă,residential,5.5
RUTA_A,11-13,2026-04-02 11:48:58,11:47,61,0.96,0.437,54.4,965.0,3.206,6.7,0.6913,0.6986,1,urban,Strada Țepeș Vodă,residential,5.7
RUTA_A,11-13,2026-04-02 11:48:59,11:47,62,3.14,0.516,55.3,1058.0,3.309,4.1,0.7136,0.7212,0,urban,Strada Țepeș Vodă,residential,4.8
RUTA_A,11-13,2026-04-02 11:49:00,11:47,63,4.68,0.367,56.6,1234.0,5.014,4.9,1.0813,1.0928,0,urban,Strada Țepeș Vodă,residential,4.1
RUTA_A,11-13,2026-04-02 11:49:01,11:47,64,5.79,0.426,58.2,1463.0,7.752,7.7,1.6716,1.6893,0,urban,Strada Țepeș Vodă,residential,3.4
RUTA_A,11-13,2026-04-02 11:49:02,11:47,65,7.74,0.572,60.4,1432.0,6.212,6.0,1.3397,1.3539,0,urban,Strada Țepeș Vodă,residential,1.5
RUTA_A,11-13,2026-04-02 11:49:03,11:47,66,9.91,0.313,63.1,1337.0,3.65,3.3,0.7871,0.7955,0,urban,Strada Țepeș Vodă,residential,0.8
RUTA_A,11-13,2026-04-02 11:49:04,11:47,67,10.0,-0.17,65.9,1140.0,3.014,2.9,0.65,0.6569,0,urban,Strada Țepeș Vodă,residential,3.5
RUTA_A,11-13,2026-04-02 11:49:05,11:47,68,8.69,-0.754,68.3,977.0,2.587,2.7,0.558,0.5639,0,urban,Strada Țepeș Vodă,residential,5.8
RUTA_A,11-13,2026-04-02 11:49:06,11:47,69,4.57,-0.942,69.6,897.0,2.423,2.4,0.5225,0.528,0,urban,Strada Țepeș Vodă,residential,6.8
RUTA_A,11-13,2026-04-02 11:49:07,11:47,70,1.91,-0.615,70.1,847.0,2.436,2.5,0.5254,0.531,0,urban,Strada Țepeș Vodă,residential,7.2
RUTA_A,11-13,2026-04-02 11:49:08,11:47,71,0.14,-0.265,70.1,816.0,2.56,2.7,0.5521,0.5579,1,urban,Strada Țepeș Vodă,residential,7.2
